연도,구분1,구분2,사례수,주 3일 이상,주 1-2일,주 1일 미만,OTT 비이용
2022,성별,남성,15567,60.1,11.3,1.4,27.2
2022,성별,여성,15687,55.5,11.6,1.3,31.6
2022,연령별,13-19세,2149,74.5,11.9,2.2,11.4
2022,연령별,20대,4508,79.8,11.5,1.2,7.5
2022,연령별,30대,4595,73.4,13.4,0.8,12.4
2022,연령별,40대,5421,66.3,15,1.6,17.1
2022,연령별,50대,5757,57,12.9,1.6,28.5
2022,연령별,60대 ,5220,40.8,8.9,1.5,48.8
2022,연령별,70대 이상,3604,13.6,4.5,0.9,81.1
2023,성별,남성,14554,54.2,11.4,2.5,31.8
2023,성별,여성,14668,52.2,11.4,1.9,34.6
2023,연령별,13-19세,1980,63.8,12.5,2.4,21.3
2023,연령별,20대,4048,72.7,12.5,2.1,12.7
2023,연령별,30대,4254,64.7,13.8,3.1,18.5
2023,연령별,40대,4985,58.7,15.7,2.9,22.7
2023,연령별,50대,5361,54.4,12.6,2.3,30.7
2023,연령별,60대 ,5444,41.6,8.1,1.8,48.6
2023,연령별,70대 이상,3151,15.2,3,0.5,81.3
2024,성별,남성,10500,58.5,12.6,3,25.9
2024,성별,여성,10549,56.6,12.6,2.3,28.5
2024,연령별,13-19세,1421,65.4,15,3.5,16.2
2024,연령별,20대,2843,73.9,14.4,3.3,8.3
2024,연령별,30대,3084,69.6,18.2,2.2,10
2024,연령별,40대,3503,65,15,3.1,16.9
2024,연령별,50대,3886,59.5,13.4,3.1,24
2024,연령별,60대 ,3444,50.5,8.7,2.3,38.4
2024,연령별,70대 이상,2868,21,4.3,1.3,73.4
